Job Title,Field
Business Analyst,Business / Analyst
Business Analyst,Business / Analyst
Hadoop Developer,Software Development
Java Developer,Software Development
AI/ML Engineer,Engineering
Techno business analyst,Business / Analyst
Audit Analytics – Jira,Data & Analytics
Quality Assurance Consultant,Business / Analyst
Splunk Engineer,Data & Analytics
Marketing Manager,Management / PM
Production Support Engineer,Engineering
Data Intelligence SME,Data & Analytics
Application Support Engineer,Engineering
Big Data Engineer,Data & Analytics
Business Support Manager,IT Infrastructure
Java Developer,Software Development
Technical Project Manager,Management / PM
Senior Software Developer,Software Development
Contractor Connect Application Specialist,Other
Business Analyst,Business / Analyst
Call Center Customer Service,Customer / Sales
Engineer,Engineering
Design Engineer,Engineering
Engineer,Engineering
JDE Developer,Software Development
Sourcing Applications Specialist,Other
Sourcing Applications Manager,Management / PM
Senior Software Developer,Software Development
Developer,Software Development
Developer,Software Development
Technical Architect,Management / PM
Business Analyst,Business / Analyst
Developer,Software Development
Developer,Software Development
Developer,Software Development
Developer,Software Development
Developer,Software Development
Developer,Software Development
Developer,Software Development
Data Center Operations Assembler,Data & Analytics
Developer,Software Development
Developer,Software Development
Desktop Admin,IT Infrastructure
Mainframe Z/os,IT Infrastructure
Analyst,Business / Analyst
Engineer,Engineering
Developer,Software Development
Software Engineer V,Software Development
Data Center Operations Assembler,Data & Analytics
Sr. Enterprise Architect,Management / PM
Project Manager III,Management / PM
Technician III,Manufacturing / Technician
Project Manager II,Management / PM
Project Manager III,Management / PM
Program Manager II,Management / PM
Project Engineer,Engineering
Invoice/Accounts Payable Analyst,Business / Analyst
Advanced Application Engineer,Engineering
Traffic & Distribution Analyst,Business / Analyst
Java Full Stack Developer,Software Development
Data Technician / Operations Assembler,Data & Analytics
Network Architect: Senior (NCR),IT Infrastructure
RF Engineer I,Engineering
Instructional Designer,Engineering
Operations Coordinator,Management / PM
Project Engineer,Engineering
Invoice/Accounts Payable Analyst,Business / Analyst
Advanced Application Engineer,Engineering
Traffic & Distribution Analyst,Business / Analyst
Java Full Stack Developer,Software Development
Sr Technical Writer,Other
Facilities Engineer,Engineering
DevOps Engineer / Release Engineer,Engineering
Data Engineer,Data & Analytics
Data Engineer,Data & Analytics
Data Engineer,Data & Analytics
Data Analyst,Data & Analytics
Power BI Developer,Software Development
Data Modeler,Data & Analytics
Varicent QA Lead,Management / PM
Deployment Network Engineer,Engineering
Functional QA Analyst,Business / Analyst
Network Engineer,Engineering
Developer,Software Development
Network Architect: Senior (NCR),IT Infrastructure
Senior React Developer,Software Development
Data Analyst,Data & Analytics
Power BI Developer,Software Development
Data Modeler,Data & Analytics
Varicent QA Lead,Management / PM
Developer,Software Development
API Testing Lead,Management / PM
"Inspector, Quality Control",Quality / Testing
Help Desk Support,IT Infrastructure
MERN Stack Developer,Software Development
Software Quality Engineer,Software Development
Graphic Designer,Engineering
M365 Migration Analyst,Business / Analyst
Tanium Resource – Remediation,Other
Software Developer,Software Development
Senior Linux Engineer,Engineering
Senior Engineer,Engineering
Engineer,Engineering
Engineer,Engineering
Engineer,Engineering
Engineer,Engineering
Engineer,Engineering
M365 Migration Analyst,Business / Analyst
Tanium Resource – Remediation,Other
Software Developer,Software Development
Azure Engineer – Administration,Engineering
Senior Salesforce Business Analyst,Software Development
Developer,Software Development
Cloud Engineering Lead – Azure,Engineering
Azure Engineer - Cloud Architect,Engineering
Biomedical Technician,Data & Analytics
System Administrator,IT Infrastructure
Solution Architect,Management / PM
Developer,Software Development
Database Administrator,Data & Analytics
System Administrator,IT Infrastructure
Engineer,Engineering
Engineering Technician 4,Engineering
Azure Engineer - Database Architect,Data & Analytics
Solution Architect Lead,Management / PM
Business Analyst,Business / Analyst
Program Manager,Management / PM
Developer,Software Development
Developer,Software Development
Java Developer,Software Development
SAP Finance (FICO) Architect,Management / PM
Developer,Software Development
SAP HCM (SuccessFactors) Technical Lead,Management / PM
ServiceNow Architect,Management / PM
Developer,Software Development
AV Technician,Manufacturing / Technician
Developer,Software Development
Developer,Software Development
Salesforce CPQ Developer,Software Development
Developer,Software Development
Business Risk Analyst,Business / Analyst
DevOps Engineer,Engineering
Project Coordinate Lead,Management / PM
Python Developer,Software Development
Microsoft Fabric Data Engineer,Data & Analytics
